"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2024","53,527.3","54,199.1","54,350.3","52,395.0","0.21K","-1.24%"
"04/04/2024","54,199.1","52,175.4","54,727.0","51,475.2","0.19K","3.89%"
"03/04/2024","52,170.0","52,079.5","53,050.0","51,381.3","0.18K","0.17%"
"02/04/2024","52,079.5","55,510.0","55,533.1","51,448.8","0.36K","-6.18%"
"01/04/2024","55,510.0","56,100.1","56,130.5","54,252.8","0.20K","-1.05%"
"31/03/2024","56,100.1","55,037.0","56,100.1","54,998.9","0.15K","1.93%"
"30/03/2024","55,037.0","55,324.6","55,605.2","54,935.9","0.07K","-0.52%"
"29/03/2024","55,324.6","56,025.3","56,145.6","54,726.9","0.15K","-1.25%"
"28/03/2024","56,025.3","54,971.9","56,597.2","54,506.7","0.20K","1.92%"
"27/03/2024","54,971.9","55,049.3","56,344.4","54,028.5","0.25K","-0.14%"
"26/03/2024","55,049.3","54,949.5","56,000.0","54,657.3","0.29K","0.18%"
"25/03/2024","54,949.5","53,347.3","55,999.6","52,555.0","0.40K","3.00%"
"24/03/2024","53,347.3","50,874.6","53,670.6","50,654.3","0.15K","4.86%"
"23/03/2024","50,874.6","50,672.7","52,389.1","50,108.0","0.12K","0.40%"
"22/03/2024","50,672.7","51,736.9","52,732.2","49,500.0","0.31K","-2.06%"
"21/03/2024","51,736.9","53,065.9","53,353.9","51,021.0","0.24K","-2.54%"
"20/03/2024","53,087.4","48,707.8","53,278.6","47,750.0","0.40K","8.99%"
"19/03/2024","48,707.8","52,989.1","53,420.4","48,292.6","0.57K","-8.08%"
"18/03/2024","52,989.1","53,667.3","54,072.8","52,230.0","0.21K","-1.26%"
"17/03/2024","53,667.3","51,217.9","54,020.3","50,683.3","0.20K","4.78%"
"16/03/2024","51,217.9","54,354.1","54,928.9","50,915.6","0.25K","-5.77%"
"15/03/2024","54,354.1","56,047.6","56,823.1","51,602.9","0.65K","-3.02%"
"14/03/2024","56,046.2","57,023.4","57,500.0","53,907.9","0.36K","-1.71%"
"13/03/2024","57,023.4","55,613.6","57,259.1","55,422.4","0.33K","2.53%"
"12/03/2024","55,613.6","55,538.0","57,079.6","53,785.4","0.47K","0.14%"
"11/03/2024","55,538.0","53,439.6","56,836.5","52,414.7","0.54K","3.93%"
"10/03/2024","53,439.7","53,233.2","54,232.6","52,903.6","0.20K","0.40%"
"09/03/2024","53,224.5","53,079.3","53,412.7","52,915.6","0.10K","0.21%"
"08/03/2024","53,113.6","52,229.3","54,355.1","51,578.7","0.39K","1.69%"
"07/03/2024","52,229.3","51,886.8","53,209.6","51,538.4","0.29K","0.66%"
"06/03/2024","51,886.8","50,197.0","53,188.2","49,500.0","0.42K","3.34%"
"05/03/2024","50,207.8","53,829.0","54,119.9","42,375.6","0.79K","-6.82%"
"04/03/2024","53,882.9","49,866.0","53,965.1","49,220.2","0.59K","8.06%"
"03/03/2024","49,866.0","49,000.8","49,969.0","48,542.4","0.15K","1.77%"
"02/03/2024","49,000.8","49,286.4","49,333.3","48,654.5","0.12K","-0.58%"
"01/03/2024","49,286.4","48,428.9","49,877.9","48,087.1","0.29K","1.77%"
"29/02/2024","48,428.9","48,291.2","49,826.0","46,392.2","0.55K","0.34%"
"28/02/2024","48,266.6","44,822.7","50,332.0","44,600.0","0.72K","7.72%"
"27/02/2024","44,808.9","42,720.5","45,120.0","41,954.2","0.36K","4.90%"
"26/02/2024","42,715.9","40,829.1","43,192.9","40,129.8","0.27K","4.62%"
